NAME                      | DESCRIPTION          | AUTHOR          | DATE       | VERSION  | KEYWORDS                                                                                                                
easy-query                | An easy to use,…     | =aetiranos      | 2016-07-22 | 1.1.7    | 
generator-origin-craft    | Yeoman generator…    | =megatrond      | 2016-09-20 | 1.2.4    | 
generator-vsts-ext        | Team Foundation…     | =visualstudioa… | 2017-03-20 | 1.0.11   | 
web-foundation            | reusable web…        | =drdelambre     | 2016-12-12 | 1.28.1   | 
webarranco_starter        | This package…        | =webarranco     | 2016-04-06 | 1.0.8    | 
webmaker-auth             | Express middleware…  | =cadecairos…    | 2016-09-13 | 1.0.5    | 
webmaker-auth-client      | This is the…         | =cadecairos…    | 2016-09-13 | 0.2.8    | 
webmaker-i18n             | Webmaker…            | =aali…          | 2016-11-14 | 0.3.31   | webmaker
webmaker-login-ux         | Extendable library…  | =cadecairos…    | 2016-09-13 | 1.3.7    | 
webmaker-mailroom         | This module outputs… | =aali…          | 2016-12-06 | 2.0.4    | 
webmaker-postalservice    | Delivering…          | =cadecairos…    | 2016-09-13 | 0.3.11   | webmaker
webmaker-user-client      | Utility functions…   | =cadecairos…    | 2016-09-13 | 0.1.2    | 
win-tfs                   | Windows Team…        | =suprsidr       | 2016-01-28 | 1.0.1    | TFS
windows.foundation        | Use the…             | =nadavbar       | 2015-02-17 | 0.1.7    | Windows.Foundation Windows Foundation WwwFormUrlDecoder IWwwFormUrlDecoderEntry WwwFormUrlDecoderEntry IGetActivationFactory PropertyValue IStringable IAsyncInfo IAsyncAction Uri IPropertyValue PropertyType AsyncStatus NodeRT WinRT Microsoft
windows.foundation.collec | Use the…             | =nadavbar       | 2014-10-10 | 0.1.6    | Windows.Foundation.Collections Windows Foundation Collections IVectorChangedEventArgs IPropertySet PropertySet CollectionChange NodeRT WinRT Microsoft
tions                     |                      |                 |            |          |                                                                                                                                                       
windows.foundation.diagno | Use the…             | =nadavbar       | 2014-10-10 | 0.1.6    | Windows.Foundation.Diagnostics Windows Foundation Diagnostics TracingStatusChangedEventArgs AsyncCausalityTracer IErrorReportingSettings RuntimeBrokerErrorSettings ILoggingChannel LoggingChannel LoggingActivity ILoggingSession LoggingSession LogFileGeneratedEventArgs IFileLoggingSession FileLoggingSession CausalityTraceLevel CausalitySource CausalityRelation CausalitySynchronousWork ErrorOptions LoggingLevel NodeRT WinRT Microsoft
stics                     |                      |                 |            |          |                                                                                                                                                                                                                                                                                                                                                                                                                                                   
wo-foundation             | Lab project of Gulp  | =mind0n         | 2016-10-06 | 1.0.4    | 
wordpress-tab-plugin-html | HTML and CSS tests…  | =rhernando      | 2016-05-22 | 1.1.0    | wordpress tabs plugin html css foundation
-test                     |                      |                 |            |          |                                          
workflow-4-node           | Workflow 4 Node is…  | =unbornchikken  | 2015-12-08 | 0.17.0   | workflow statemachine stateful development developmenttool
wysknd-lib                | Common library…      | =vamship        | 2015-05-06 | 0.0.2    | node libraries
yeoman-foundation         | Yeoman generator…    | =vincentmac     | 2013-02-09 | 0.2.4    | yeoman foundation generator cli tool development
yeoman-meteor             | A structured yeoman… | =doubleu23      | 2014-01-20 | 0.0.5    | yeoman-generator meteor subgenerators scaffolding sass foundation
yug-foundation            | a simple basic lib…  | =sandon         | 2015-11-29 | 0.0.2    | modularization componentization
zurb-foundation           | The most advanced…   | =elm232         | 2013-06-27 | 4.2.3    | ZURB foundation responsive framework grid
zurb-foundation-5         | Foundation 5 for…    | =cethy          | 2014-11-13 | 5.4.7    | zurb foundation
zurb-foundation-npm       | A simple and stock…  | =jdillon522     | 2014-03-13 | 0.0.1    | 
zurb-foundation-scss-npm  | Zurb's Foundation 5… | =jackcompton    | 2014-08-03 | 0.0.1    | 
zurb.foundation           |                      |                 | 2015-01-22 |          | 
zurb.foundation.css       |                      |                 | 2015-01-22 |          | 
